VideoNo,PositivePercent,NegativePercent,AngerPercent,AnticipationPercent,DisgustPercent,FearPercent,JoyPercent,SadnessPercent,SurprisePercent,TrustPercent,VideoFrame
421,0.087866109,0.116108787,0.04916318,0.04707113,0.028242678,0.067991632,0.027196653,0.055439331,0.032426778,0.04916318,2
426,0.109677419,0.07311828,0.025806452,0.034408602,0.010752688,0.03655914,0.027956989,0.032258065,0.012903226,0.070967742,3
427,0.075980392,0.102941176,0.034313725,0.039215686,0.031862745,0.078431373,0.029411765,0.036764706,0.022058824,0.041666667,3
432,0.065693431,0.094890511,0.03649635,0.03649635,0.025547445,0.091240876,0.018248175,0.062043796,0.02189781,0.025547445,2
440,0.142272262,0.134425111,0.059706585,0.047424087,0.044694643,0.093483453,0.029682702,0.062777209,0.026270897,0.071647902,8
441,0.124482649,0.127347978,0.055714741,0.045526902,0.052531041,0.083094556,0.016873607,0.05953518,0.012734798,0.068767908,7
442,0.10626186,0.077798861,0.036053131,0.045540797,0.026565465,0.037950664,0.041745731,0.039848197,0.028462998,0.072106262,3
443,0.079096045,0.09039548,0.073446328,0.06779661,0.005649718,0.028248588,0.073446328,0.011299435,0.079096045,0.02259887,3
445,0.110680799,0.122299225,0.053200163,0.054015491,0.043008561,0.077456176,0.02690583,0.057684468,0.022013861,0.065633918,2
446,0.081381011,0.081381011,0.057953144,0.03945746,0.046855734,0.033292232,0.030826141,0.032059186,0.025893958,0.05918619,4
447,0.117728532,0.139889197,0.096952909,0.055401662,0.102493075,0.034626039,0.037396122,0.05401662,0.033240997,0.067867036,4
449,0.115658363,0.137010676,0.053380783,0.064946619,0.045373665,0.087188612,0.038256228,0.078291815,0.032918149,0.06405694,3
452,0.085365854,0.116322702,0.055347092,0.034709193,0.02532833,0.09380863,0.028142589,0.06097561,0.022514071,0.055347092,3
461,0.098591549,0.105633803,0.039906103,0.068075117,0.03286385,0.058685446,0.044600939,0.058685446,0.044600939,0.056338028,2
463,0.0781893,0.098765432,0.04526749,0.04526749,0.024691358,0.065843621,0.041152263,0.032921811,0.024691358,0.04526749,3
464,0.091133005,0.131773399,0.045566502,0.036945813,0.033251232,0.093596059,0.028325123,0.092364532,0.016009852,0.064039409,2
467,0.154471545,0.12195122,0.042682927,0.050813008,0.028455285,0.075203252,0.050813008,0.06504065,0.024390244,0.091463415,5
